id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Highway Static,Voltline,rock,intense,0.88,148,0.52,0.63,0.12
12,Paper Boats,Slow Stereo,jazz,relaxed,0.33,86,0.68,0.50,0.91
13,Sunday Sketchbook,Paper Lanterns,lofi,chill,0.31,70,0.58,0.55,0.88
14,Neon Alley,Neon Echo,synthwave,moody,0.79,112,0.46,0.70,0.20
15,Golden Hour,Indigo Parade,indie pop,happy,0.71,120,0.85,0.80,0.40
16,Treadmill Anthem,Max Pulse,pop,intense,0.95,134,0.74,0.90,0.04
17,Cloud Drift,Orbit Bloom,ambient,chill,0.25,58,0.62,0.38,0.94
18,Deadline Grind,LoRoom,lofi,focused,0.44,82,0.55,0.63,0.75
19,Firelight Waltz,Slow Stereo,jazz,relaxed,0.36,92,0.73,0.52,0.87
20,Skyline Pulse,Neon Echo,synthwave,intense,0.86,128,0.55,0.77,0.15
21,Morning Playlist,Indigo Parade,indie pop,happy,0.68,116,0.79,0.75,0.42
22,Iron Vein,Voltline,rock,intense,0.94,158,0.44,0.60,0.08
23,Quiet Orbit,Orbit Bloom,ambient,relaxed,0.22,55,0.60,0.35,0.95
24,Late Night Deadline,LoRoom,lofi,focused,0.41,79,0.57,0.61,0.80
25,Bloom Parade,Indigo Parade,indie pop,happy,0.74,122,0.83,0.81,0.33
26,Static Heartbeat,Neon Echo,synthwave,moody,0.72,108,0.51,0.68,0.25
27,Velvet Lounge,Slow Stereo,jazz,chill,0.30,84,0.66,0.48,0.90
28,Sprint Interval,Max Pulse,pop,intense,0.96,140,0.72,0.92,0.03
29,Rainy Window,Paper Lanterns,lofi,chill,0.29,68,0.54,0.53,0.90
30,Northern Lights,Orbit Bloom,ambient,chill,0.26,56,0.64,0.40,0.93
